,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
38,39.0,0.7390360998084939,2.471435428614247,0.5,1.089778711165154
39,40.0,0.7390360998084939,2.8625320122184212,0.5,1.3544004493620987
40,41.0,0.7475012791549805,1.6966709949116026,0.5,1.0497697023174954
41,42.0,0.7390360998084939,1.9929771328273702,0.5,1.3555686834373446
42,43.0,0.7390360998084939,1.8792794071646346,0.5,0.9456174499553581
43,44.0,0.7390360998084939,4.030378118686625,0.5,1.4347740751476736
44,45.0,0.7390360998084939,2.7276775005559206,0.5,1.1764064668661751
45,46.0,0.7390360998084939,1.5218909226098924,0.5,1.0463317574820323
46,47.0,0.7390360998084939,1.421634213879133,0.5,1.1017501739010052
47,48.0,0.7390360998084939,1.3647207439524836,0.5,1.064880789717313
48,49.0,0.7390360998084939,1.4760748734120126,0.5,1.2189881491041585
49,50.0,0.7390360998084939,2.3424835094501346,0.5,1.1848424575772998
50,51.0,0.7390360998084939,1.9104728407792109,0.5,1.0446671092729225
51,52.0,0.7390360998084939,1.764139902520314,0.5,1.3951678078534784
52,53.0,0.7390360998084939,1.1579709917732333,0.5,0.688846903601893
53,54.0,0.7390360998084939,2.3905687080257376,0.5,1.3370520324950235
54,55.0,0.7390360998084939,2.578022996196886,0.5,1.3433139093607107
55,56.0,0.7390360998084939,2.0342849700024837,0.5,1.1701787694717616
56,57.0,0.7390360998084939,1.6458985650873725,0.5,1.1721754873352404
57,58.0,0.7390360998084939,3.7446722845491434,0.5,1.2115927801020183
58,59.0,0.7390360998084939,2.6830758996006874,0.5,1.3935001101151503
59,60.0,0.7390360998084939,2.3196665160968526,0.5,1.1253563557651027
60,61.0,0.7390360998084939,1.7839138930365859,0.5,1.27638920671127
61,62.0,0.7390360998084939,2.3003200954756826,0.5,1.277617741772265
62,63.0,0.7390360998084939,1.92358665631839,0.5,0.9678716842225565
63,64.0,0.7390360998084939,1.813586576698242,0.5,0.9624595199888185
64,65.0,0.7390360998084939,1.7994139666352462,0.5,1.3737027509681086
65,66.0,0.7390360998084939,1.9301871030134163,0.5,0.9873138442903588
66,67.0,0.7390360998084939,2.688484590953575,0.5,1.386126512335693
67,68.0,0.7390360998084939,2.7136843074415125,0.5,1.3601038026672043
68,69.0,0.7390360998084939,2.0853768819280183,0.5,1.2291762762758762
69,70.0,0.7390360998084939,2.536156462642836,0.5,1.3173197945500033
70,71.0,0.7390360998084939,2.5489924729066424,0.5,1.34925687297393
71,72.0,0.7390360998084939,1.4882413210018344,0.5,1.0887298531374932
72,73.0,0.7390360998084939,2.6927623602597115,0.5,1.0775269677827533
73,74.0,0.7390360998084939,3.1357331356992937,0.5,1.2011768086867014
74,75.0,0.7390360998084939,3.4271522478301883,0.5,1.4624018914774037
75,76.0,0.7390360998084939,2.1638977575134013,0.5,1.149730407230658
76,77.0,0.7390360998084939,1.9863084593045819,0.5,0.9899663098654043
77,78.0,0.7390360998084939,1.9493549381990085,0.5,1.1580055805656317
78,79.0,0.7390360998084939,2.146787825111239,0.5,1.2076716729911452
79,80.0,0.7390360998084939,2.1071112770158087,0.5,1.2443706225096132
80,81.0,0.7390360998084939,1.4977698001781172,0.5,1.1405897514563073
81,82.0,0.7390360998084939,2.2929913254685115,0.5,1.264731706975291
82,83.0,0.7390360998084939,1.94120223779985,0.5,1.1856230659396216
83,84.0,0.7390360998084939,1.8313369900540064,0.5,1.0813581525410694
84,85.0,0.7390360998084939,2.266620943441683,0.5,1.380958428268398
85,86.0,0.7390360998084939,2.1997999070225625,0.5,1.3888085995639334
