,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
31,32.0,4.452474982862149,1.8024722123454442,3.3333205717613565,1.08941687516232
32,33.0,3.4209791094465363,1.5079707423986843,2.636285757369268,0.871238647298561
33,34.0,3.422529492703926,2.0165780115030008,2.7075222780083323,1.3617932161666164
34,35.0,3.803466931836727,1.9429867842504382,2.791572089423218,1.2174424908258261
35,36.0,4.09101136735278,1.597678343665519,2.8086023497851755,0.9084978144020726
36,37.0,4.7889710263691265,2.1195687918891233,3.4668909106916073,1.118748787407036
37,38.0,7.162786026604109,2.532375348052025,5.166537139547201,1.2783522853884324
38,39.0,11.243121203782136,2.352074019613478,7.814674191551666,1.4571763785750607
39,40.0,9.458416586774486,1.6184783817186064,6.37920359426682,1.099474145756805
40,41.0,4.501601606581961,1.8511854681474864,3.2295097426947943,1.1810488585972885
41,42.0,2.6318758872272023,2.230783840260361,2.1897012095907837,1.0268988121576723
42,43.0,4.649651373804392,2.0989053431319857,3.5119571713449957,1.3797105593131398
43,44.0,6.652006415239312,2.4401063058863186,4.777505416763027,1.2826537753547465
44,45.0,6.218798607019274,2.3818821374638417,4.501701043077794,1.177849336666177
45,46.0,4.8859815447224335,1.7036561972236572,3.34356554718267,1.2303722577436724
46,47.0,4.250597980484006,2.009492519879993,3.1232528298986195,1.0995565805180945
47,48.0,2.2465346188688193,1.345754268888521,1.7662882089731984,0.5105356868184877
48,49.0,3.9253827621623807,1.9885072086032929,2.9963249011048547,1.0217427198641484
49,50.0,5.154040068875622,2.2033187891849977,3.903353308267364,1.1312662848837491
50,51.0,5.947916376782007,2.6076971432197995,4.479371391026852,1.2690964143669266
51,52.0,7.359027304521792,2.119208189005614,5.549106538329578,0.9550339203189372
52,53.0,7.684196971944373,2.298945649564534,5.751053376436275,1.2404088840389622
53,54.0,6.2792010428311515,1.7074527741316718,4.878185382934687,1.2721710990454818
54,55.0,4.003735394088973,1.651177247805995,2.9633226118504257,1.1169417728311448
55,56.0,5.136694710210723,1.9596700026211968,3.535904578503589,1.238913460613681
56,57.0,4.496597662365193,1.4519330186599324,2.993729536678329,0.6509109746658802
57,58.0,4.704543035163866,2.116452844818476,3.2718963472386413,1.2106930108236669
58,59.0,4.897266907600071,1.6525382155853083,3.516544396814709,1.0130631302759219
59,60.0,7.683670531232967,2.3986136331756462,5.758547508975567,1.3140355569516353
60,61.0,10.576092216958637,2.558668239937644,7.982873035791432,1.1881852031306703
61,62.0,6.6775038976190375,1.8469590195792531,5.0919632570692785,1.0936338361059066
62,63.0,2.3581398756135377,1.914256811110622,1.999548373497067,1.1947614310588925
